sinking_law,best_scale,frag_level,frag_eps,diameter_space,sampled,sample_volume_L,b,kappa,r2,alpha,c0,c1,c2,n_fit,fit_dmin_cm,fit_dmax_cm,dmax_vol_cm,dmax_img_cm
current,0.8,no_frag,NaN,image,0,NaN,4.26253270207762,-0.704701220028874,0.993868188298637,-5.93302057202231,-0.70206102931649,-1.5630654944535,-0.704701220028874,13,0.01,0.6,NaN,NaN
current,0.8,no_frag,NaN,volume,0,NaN,7.83022336717579,-4.84922826217611,0.931240287209906,-12.6244840185574,-5.77524482774781,-11.4955282010405,-4.84922826217611,16,0.01,0.6,NaN,NaN
current,0.8,no_frag,NaN,image,1,1,3.98188065082345,0.765104450995819,0.965012678278162,-2.59424540162531,1.50193851184938,2.19129075114064,0.765104450995819,8,0.01,0.6,NaN,NaN
current,0.8,no_frag,NaN,volume,1,1,3.33206186985554,4.4911462929506,0.82651191665386,-2.39307015262684,10.3230088011947,13.8160832589859,4.4911462929506,7,0.01,0.6,NaN,NaN
current,0.8,weak,1e-08,image,0,NaN,4.26253276503586,-0.704701284831629,0.993868187243317,-5.93302051678762,-0.70206109387646,-1.56306563818953,-0.704701284831629,13,0.01,0.6,4.75467957738334,54.1148191295563
current,0.8,weak,1e-08,volume,0,NaN,7.830223539859,-4.84922838325355,0.931240287824083,-12.6244841579771,-5.7752449719464,-11.4955284880654,-4.84922838325355,16,0.01,0.6,4.75467957738334,54.1148191295563
current,0.8,weak,1e-08,image,1,1,3.24327695880914,1.23009195875631,0.977533064918795,-1.39539121281723,1.89829359438365,3.19349911733831,1.23009195875631,9,0.01,0.6,4.75467957738334,54.1148191295563
current,0.8,weak,1e-08,volume,1,1,4.29119211005754,-2.11127755052094,0.979744459040542,-3.93971954316845,-5.94670821083356,-7.12349802274433,-2.11127755052094,6,0.01,0.6,4.75467957738334,54.1148191295563
current,0.8,medium,1e-06,image,0,NaN,4.26253437271552,-0.704703021800169,0.993868159808058,-5.93302041940323,-0.702062824337378,-1.56306949087987,-0.704703021800169,13,0.01,0.6,2.38298470417284,22.1678687850624
current,0.8,medium,1e-06,volume,0,NaN,7.83022863827499,-4.84923291674202,0.931240273053041,-12.6244900571048,-5.77525037115725,-11.4955392351042,-4.84923291674202,16,0.01,0.6,2.38298470417284,22.1678687850624
current,0.8,medium,1e-06,image,1,1,3.36388741892641,1.42405862160002,0.972407021201136,-1.54102160056115,2.55236109148917,3.92362822687348,1.42405862160002,8,0.01,0.6,2.38298470417284,22.1678687850624
current,0.8,medium,1e-06,volume,1,1,4.24060342428324,3.48536166948085,0.966232384887463,-3.88348792469482,10.4479535454238,12.1094216011131,3.48536166948085,5,0.01,0.6,2.38298470417284,22.1678687850624
current,0.8,strong,0.0001,image,0,NaN,4.26259620210533,-0.704773624601603,0.993867083085729,-5.93307835097063,-0.702133162622653,-1.56322609171949,-0.704773624601603,13,0.01,0.6,1.19432151166049,9.08095812526415
current,0.8,strong,0.0001,volume,0,NaN,7.14994511232687,-4.10856028148686,0.94666502061373,-11.6246605535158,-5.49900500739435,-10.1519753048322,-4.10856028148686,15,0.01,0.6,1.19432151166049,9.08095812526415
current,0.8,strong,0.0001,image,1,1,3.68159308233609,0.280606877523919,0.991620621677601,-2.08149233302673,0.550845411361071,0.803669688007058,0.280606877523919,8,0.01,0.6,1.19432151166049,9.08095812526415
current,0.8,strong,0.0001,volume,1,1,5.11283420474898,-5.21961620372411,0.95374363617817,-5.48265630500495,-15.6466710754795,-18.1348563508794,-5.21961620372411,5,0.01,0.6,1.19432151166049,9.08095812526415
kriest_8,0.8,no_frag,NaN,image,0,NaN,3.82182560937808,-0.0194701281895026,0.999995198022957,-5.27548535097162,-0.0193971825919185,-0.0431857994290868,-0.0194701281895026,13,0.01,0.6,NaN,NaN
kriest_8,0.8,no_frag,NaN,volume,0,NaN,4.65977789600991,-0.0279156858211064,0.999992286473612,-7.65712081454238,-0.0252944352162978,-0.0605743177767662,-0.0279156858211064,18,0.01,0.6,NaN,NaN
kriest_8,0.8,no_frag,NaN,image,1,1,3.66220926027795,1.20326362441782,0.968082191931396,-2.0506308538793,2.38377176045797,3.45893922734954,1.20326362441782,7,0.01,0.6,NaN,NaN
kriest_8,0.8,no_frag,NaN,volume,1,1,3.63583217387248,2.99353637509632,0.950885897780542,-2.88064968021023,7.42228572030609,9.52411777360531,2.99353637509632,7,0.01,0.6,NaN,NaN
kriest_8,0.8,weak,1e-08,image,0,NaN,3.68557237407558,-0.0420606263901123,0.999975584121741,-4.71425142703805,-0.0419030446065212,-0.0932927486386255,-0.0420606263901123,13,0.01,0.6,4.75467957738334,54.1148191295563
kriest_8,0.8,weak,1e-08,volume,0,NaN,4.57860180595533,-0.188568942329546,0.999527201960842,-7.1129112447941,-0.170862536787631,-0.409176228329033,-0.188568942329546,18,0.01,0.6,4.75467957738334,54.1148191295563
kriest_8,0.8,weak,1e-08,image,1,1,3.68094109924672,0.104878982243667,0.983285724225908,-1.70689166680223,0.184436291227425,0.286827643052564,0.104878982243667,9,0.01,0.6,4.75467957738334,54.1148191295563
kriest_8,0.8,weak,1e-08,volume,1,1,4.30318487706792,1.81276651994939,0.986024641530609,-3.65370786725273,4.78383417213667,5.9344160475669,1.81276651994939,7,0.01,0.6,4.75467957738334,54.1148191295563
kriest_8,0.8,medium,1e-06,image,0,NaN,3.67680146589311,-0.0469881894892161,0.999969670315318,-4.61905470316293,-0.0468121463975439,-0.10422235062177,-0.0469881894892161,13,0.01,0.6,2.38298470417284,22.1678687850624
kriest_8,0.8,medium,1e-06,volume,0,NaN,4.44729146017979,0.208438567223082,0.99210251017967,-6.84918164407113,0.18886642688951,0.452291378002201,0.208438567223082,18,0.01,0.6,2.38298470417284,22.1678687850624
kriest_8,0.8,medium,1e-06,image,1,1,3.25847466537535,1.16930755026874,0.971769772547208,-1.0319126524538,1.37801122510478,2.7446590346108,1.16930755026874,12,0.01,0.6,2.38298470417284,22.1678687850624
kriest_8,0.8,medium,1e-06,volume,1,1,4.54612117337484,1.84684617895964,0.969475417534943,-4.04112507637745,4.5518368459664,5.86066321926936,1.84684617895964,8,0.01,0.6,2.38298470417284,22.1678687850624
kriest_8,0.8,strong,0.0001,image,0,NaN,3.69184921620126,-0.101326916261487,0.999845683909625,-4.52212253050579,-0.100947291002408,-0.224748591269959,-0.101326916261487,13,0.01,0.6,1.19432151166049,9.08095812526415
kriest_8,0.8,strong,0.0001,volume,0,NaN,4.38807904002943,0.436665280538969,0.986804601272288,-6.63775299225561,0.584444282114818,1.07897045212756,0.436665280538969,15,0.01,0.6,1.19432151166049,9.08095812526415
kriest_8,0.8,strong,0.0001,image,1,1,3.50909625229286,0.756009395596128,0.966029070081224,-1.28011339945894,1.0329206811087,1.87221873969813,0.756009395596128,11,0.01,0.6,1.19432151166049,9.08095812526415
kriest_8,0.8,strong,0.0001,volume,1,1,4.06390162304149,1.24855303397142,0.988490839642963,-3.02636534121382,2.89860603744198,3.8565758319425,1.24855303397142,8,0.01,0.6,1.19432151166049,9.08095812526415
kriest_9,0.8,no_frag,NaN,image,0,NaN,3.85815136365743,-0.0299204443711626,0.99998894546564,-5.35833947992235,-0.0298083462548375,-0.0663651670325839,-0.0299204443711626,13,0.01,0.6,NaN,NaN
kriest_9,0.8,no_frag,NaN,volume,0,NaN,4.72819049399959,-0.0551428488962322,0.999970656254416,-7.8031955767971,-0.0499649991759577,-0.119654608293058,-0.0551428488962322,18,0.01,0.6,NaN,NaN
kriest_9,0.8,no_frag,NaN,image,1,1,3.8413998606305,1.3168802078541,0.976943586914433,-2.38839026469098,2.86171452085115,3.94173683978914,1.3168802078541,7,0.01,0.6,NaN,NaN
kriest_9,0.8,no_frag,NaN,volume,1,1,2.6649280160846,1.79605244362594,0.961377453777611,-1.06755497339046,3.31121309582842,5.06395835339197,1.79605244362594,6,0.01,0.6,NaN,NaN
kriest_9,0.8,weak,1e-08,image,0,NaN,3.79950560930556,-0.0260978513218921,0.999991293844624,-5.21685127846276,-0.0260000747000941,-0.0578864484993484,-0.0260978513218921,13,0.01,0.6,4.75467957738334,54.1148191295563
kriest_9,0.8,weak,1e-08,volume,0,NaN,4.67690764486112,-0.109170576314849,0.999856452317676,-7.64531803564601,-0.0989195854910426,-0.236889511651135,-0.109170576314849,18,0.01,0.6,4.75467957738334,54.1148191295563
kriest_9,0.8,weak,1e-08,image,1,1,3.70490175314964,0.680889546339965,0.975637009708189,-2.0586962242462,1.19738712157508,1.86212661085978,0.680889546339965,9,0.01,0.6,4.75467957738334,54.1148191295563
kriest_9,0.8,weak,1e-08,volume,1,1,4.63678107805551,7.15911470951492,0.849306391365005,-4.71789566747027,20.1646468579496,24.1550143254477,7.15911470951492,6,0.01,0.6,4.75467957738334,54.1148191295563
kriest_9,0.8,medium,1e-06,image,0,NaN,3.76760118285279,-0.0303850909888891,0.999987997030273,-5.11570218448534,-0.0302712520558174,-0.0673957784103427,-0.0303850909888891,13,0.01,0.6,2.38298470417284,22.1678687850624
kriest_9,0.8,medium,1e-06,volume,0,NaN,4.52884989986252,0.222316702074593,0.994661666037342,-7.37113240627259,0.201441420933152,0.482405578170217,0.222316702074593,18,0.01,0.6,2.38298470417284,22.1678687850624
kriest_9,0.8,medium,1e-06,image,1,1,3.43573242819007,1.71121065579101,0.918265570254301,-1.64062346645013,2.6271267075307,4.44117030624671,1.71121065579101,7,0.01,0.6,2.38298470417284,22.1678687850624
kriest_9,0.8,medium,1e-06,volume,1,1,5.42193418293197,-5.7123967796907,0.979072556042395,-6.02671886389645,-17.1238631301431,-19.8469563614667,-5.7123967796907,5,0.01,0.6,2.38298470417284,22.1678687850624
kriest_9,0.8,strong,0.0001,image,0,NaN,3.74170581250867,-0.0778840318748329,0.99991047714694,-4.95589677275665,-0.0775922362999804,-0.172751003308156,-0.0778840318748329,13,0.01,0.6,1.19432151166049,9.08095812526415
kriest_9,0.8,strong,0.0001,volume,0,NaN,4.43514998169785,0.438672872193336,0.989315731854801,-7.08870657098402,0.587131295521901,1.0839310756796,0.438672872193336,15,0.01,0.6,1.19432151166049,9.08095812526415
kriest_9,0.8,strong,0.0001,image,1,1,3.47476287699491,0.829300304540467,0.986020881906881,-1.49672033175479,1.8021538401864,2.48229378963958,0.829300304540467,7,0.01,0.6,1.19432151166049,9.08095812526415
kriest_9,0.8,strong,0.0001,volume,1,1,3.94609018231211,3.42079763965089,0.924249858526248,-3.19195462926755,8.43108262948527,10.8553398413283,3.42079763965089,8,0.01,0.6,1.19432151166049,9.08095812526415
siegel_2025,0.8,no_frag,NaN,image,0,NaN,3.83067537750929,-0.0239672185079463,0.99999279231624,-5.2922846152481,-0.0238774243854077,-0.0531605894569973,-0.0239672185079463,13,0.01,0.6,NaN,NaN
siegel_2025,0.8,no_frag,NaN,volume,0,NaN,4.68101875392964,-0.0404876983212665,0.99998390623048,-7.69602605326208,-0.0366859502864154,-0.0878543597273172,-0.0404876983212665,18,0.01,0.6,NaN,NaN
siegel_2025,0.8,no_frag,NaN,image,1,1,3.33265130677453,0.679265490469474,0.991574664919853,-1.48186778337323,1.19453111711078,1.85768507159659,0.679265490469474,9,0.01,0.6,NaN,NaN
siegel_2025,0.8,no_frag,NaN,volume,1,1,5.31962310758145,-6.24601081800405,0.956661641003605,-5.78591831800531,-18.7234603060408,-21.7009267596583,-6.24601081800405,5,0.01,0.6,NaN,NaN
siegel_2025,0.8,weak,1e-08,image,0,NaN,3.72660265498003,-0.0333656278215958,0.999985064111084,-4.96210841467838,-0.0332406221905815,-0.0740067706234121,-0.0333656278215958,13,0.01,0.6,4.75467957738334,54.1148191295563
siegel_2025,0.8,weak,1e-08,volume,0,NaN,4.60954282196156,-0.154622380474507,0.999688258182651,-7.36509467575326,-0.140103517820267,-0.335515497282939,-0.154622380474507,18,0.01,0.6,4.75467957738334,54.1148191295563
siegel_2025,0.8,weak,1e-08,image,1,1,3.43186900011212,0.694505844533012,0.990232756989574,-1.46926298035273,1.11574591830617,1.82989793908773,0.694505844533012,9,0.01,0.6,4.75467957738334,54.1148191295563
siegel_2025,0.8,weak,1e-08,volume,1,1,2.97535523635039,2.17559259258737,0.936640447387531,-1.49131303150088,4.16192728600246,6.20150950419941,2.17559259258737,7,0.01,0.6,4.75467957738334,54.1148191295563
siegel_2025,0.8,medium,1e-06,image,0,NaN,3.70399104022121,-0.0407102362609295,0.99997761817784,-4.83621879803621,-0.0405577137668307,-0.0902975101531728,-0.0407102362609295,13,0.01,0.6,2.38298470417284,22.1678687850624
siegel_2025,0.8,medium,1e-06,volume,0,NaN,4.46894047481109,0.215288890511938,0.992989797451682,-7.0698437544262,0.195073512746225,0.467155911957481,0.215288890511938,18,0.01,0.6,2.38298470417284,22.1678687850624
siegel_2025,0.8,medium,1e-06,image,1,1,3.49645512488717,0.0263110231523824,0.989541132941689,-1.486620788072,0.0516498615415084,0.0753558571144416,0.0263110231523824,8,0.01,0.6,2.38298470417284,22.1678687850624
siegel_2025,0.8,medium,1e-06,volume,1,1,3.54735758700571,2.75781171004751,0.919020467015483,-2.47125524464726,5.94656594650488,8.24684113635312,2.75781171004751,8,0.01,0.6,2.38298470417284,22.1678687850624
siegel_2025,0.8,strong,0.0001,image,0,NaN,3.70381385366868,-0.0949897156192872,0.999865159723633,-4.68390178325459,-0.0946338329305373,-0.210692336826629,-0.0949897156192872,13,0.01,0.6,1.19432151166049,9.08095812526415
siegel_2025,0.8,strong,0.0001,volume,0,NaN,4.39853554136351,0.437442638993357,0.987553953294577,-6.80233444764164,0.585484719090389,1.08089125243017,0.437442638993357,15,0.01,0.6,1.19432151166049,9.08095812526415
siegel_2025,0.8,strong,0.0001,image,1,1,3.39712171873962,0.813575160046089,0.985332241153024,-1.26406660638151,1.11157164625618,2.01477742163526,0.813575160046089,11,0.01,0.6,1.19432151166049,9.08095812526415
siegel_2025,0.8,strong,0.0001,volume,1,1,4.61524778903248,-1.39728321848602,0.992791955402315,-4.08549045215435,-3.6873867291708,-4.57425700636332,-1.39728321848602,7,0.01,0.6,1.19432151166049,9.08095812526415
